protein_id,protein_label,pet_kind,pet_length,run_id,layout,direction,replica_id,production_verdict,retention_verdict,retention_fraction,retention_class,stability_verdict,clash_verdict,pbc_verdict,burn_in_ns,mindist_mean_post_burn_in_nm,mindist_end_post_burn_in_nm,existing_residue_contacts_long,existing_contact_persistence,files_ready_for_fingerprint,retained_fingerprint_eligible,strict_fingerprint_eligible,inclusion_note
Pro00083,IsPETase WT,PET_L20,20,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,runtime,bidirectional,3,PRODUCTION_FAIL,FAIL,0.0006,detached,WARN,PASS,PASS,20.0,4.369,4.202,yes,yes,yes,no,no,retention 0.001 below 0.8; retention verdict FAIL; stability verdict WARN
Pro00083,IsPETase WT,PET_L20,20,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,runtime,head-side,1,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.204,0.182,yes,yes,yes,yes,no,stability verdict WARN
Pro00083,IsPETase WT,PET_L20,20,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,runtime,head-side,2,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.211,0.21,yes,yes,yes,yes,no,stability verdict WARN
Pro00083,IsPETase WT,PET_L20,20,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,runtime,head-side,3,PRODUCTION_WARN,PASS,0.9988,retained,WARN,PASS,PASS,20.0,0.197,0.225,yes,yes,yes,yes,no,stability verdict WARN
Pro00083,IsPETase WT,PET_L20,20,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,runtime,tail-side,1,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.199,0.164,yes,yes,yes,yes,no,stability verdict WARN
Pro00083,IsPETase WT,PET_L20,20,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,runtime,tail-side,2,PRODUCTION_WARN,PASS,0.9834,retained,WARN,PASS,PASS,20.0,0.241,0.167,yes,yes,yes,yes,no,stability verdict WARN
Pro00083,IsPETase WT,PET_L20,20,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,runtime,tail-side,3,PRODUCTION_FAIL,FAIL,0.3016,detached,WARN,PASS,PASS,20.0,2.677,3.781,yes,yes,yes,no,no,retention 0.302 below 0.8; retention verdict FAIL; stability verdict WARN
Pro00121,HiC / 4OYY,PET_L4,4,pro00121_petl4_b200h200x32_binding001_20260629T193859Z,results,single,1,PRODUCTION_FAIL,FAIL,0.3301,detached,PASS,PASS,PASS,20.0,1.856,0.237,no,no,yes,no,no,retention 0.330 below 0.8; retention verdict FAIL
Pro00121,HiC / 4OYY,PET_L4,4,pro00121_petl4_b200h200x32_binding001_20260629T193859Z,results,single,2,PRODUCTION_FAIL,FAIL,0.2390,detached,PASS,PASS,PASS,20.0,1.999,1.43,no,no,yes,no,no,retention 0.239 below 0.8; retention verdict FAIL
Pro00121,HiC / 4OYY,PET_L4,4,pro00121_petl4_b200h200x32_binding001_20260629T193859Z,results,single,3,PRODUCTION_WARN,WARN,0.6865,partial,PASS,PASS,PASS,20.0,1.046,2.439,no,no,yes,no,no,retention 0.686 below 0.8; retention verdict WARN
Pro00121,HiC / 4OYY,PET_L10,10,pro00121_petl10_b200h200x32_binding001_20260701T051222Z,runtime,bidirectional,1,PRODUCTION_FAIL,FAIL,0.2431,detached,PASS,PASS,PASS,20.0,2.734,0.235,no,no,yes,no,no,retention 0.243 below 0.8; retention verdict FAIL
Pro00121,HiC / 4OYY,PET_L10,10,pro00121_petl10_b200h200x32_binding001_20260701T051222Z,runtime,bidirectional,2,PRODUCTION_FAIL,FAIL,0.2501,detached,PASS,PASS,PASS,20.0,2.637,3.337,no,no,yes,no,no,retention 0.250 below 0.8; retention verdict FAIL
Pro00121,HiC / 4OYY,PET_L10,10,pro00121_petl10_b200h200x32_binding001_20260701T051222Z,runtime,bidirectional,3,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.198,0.193,no,no,yes,yes,yes,strict retained trajectory
Pro00121,HiC / 4OYY,PET_L10,10,pro00121_petl10_b200h200x32_binding001_20260701T051222Z,runtime,head-side,1,PRODUCTION_WARN,WARN,0.7002,partial,PASS,PASS,PASS,20.0,1.387,5.055,no,no,yes,no,no,retention 0.700 below 0.8; retention verdict WARN
Pro00121,HiC / 4OYY,PET_L10,10,pro00121_petl10_b200h200x32_binding001_20260701T051222Z,runtime,head-side,2,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.208,0.214,no,no,yes,yes,yes,strict retained trajectory
