trajectory_id,enzyme,protein_id,pet_length,direction,replica_id,run_id,planned_production_ns,final_logged_step,final_logged_time_ns,log_finished_mdrun,time_check_scope,retention_fraction,retention_class,analysis_window_ns,production_gate_verdict,stability_verdict,pbc_verdict,clash_verdict,nvt_gen_seed,gromacs_version_registry,gromacs_version_log,case_manifest_provenance
Pro00075__PET_L20__tail-side__r3,FoCut5a,Pro00075,20,tail-side,3,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,1230061539,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L4__single__r1,IsPETase,Pro00083,4,single,1,pro00083_petl4_b200h200x32_binding001_20260612T132208Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.8308,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,20260612,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L4__single__r2,IsPETase,Pro00083,4,single,2,pro00083_petl4_b200h200x32_binding001_20260612T132208Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.9491,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,20260613,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L4__single__r3,IsPETase,Pro00083,4,single,3,pro00083_petl4_b200h200x32_binding001_20260612T132208Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.5689,partial,20-100,PRODUCTION_WARN,WARN,PASS,PASS,20260614,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L10__bidirectional__r1,IsPETase,Pro00083,10,bidirectional,1,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,435444397,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L10__bidirectional__r2,IsPETase,Pro00083,10,bidirectional,2,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.4491,detached,20-100,PRODUCTION_FAIL,WARN,PASS,PASS,1662459255,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L10__bidirectional__r3,IsPETase,Pro00083,10,bidirectional,3,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.1966,detached,20-100,PRODUCTION_FAIL,WARN,PASS,PASS,1906214825,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L10__head-side__r1,IsPETase,Pro00083,10,head-side,1,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.0204,detached,20-100,PRODUCTION_FAIL,WARN,PASS,PASS,828402438,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L10__head-side__r2,IsPETase,Pro00083,10,head-side,2,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,597069675,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L10__head-side__r3,IsPETase,Pro00083,10,head-side,3,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,128047342,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L10__tail-side__r1,IsPETase,Pro00083,10,tail-side,1,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.6230,partial,20-100,PRODUCTION_WARN,WARN,PASS,PASS,738262720,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L10__tail-side__r2,IsPETase,Pro00083,10,tail-side,2,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.4852,detached,20-100,PRODUCTION_FAIL,WARN,PASS,PASS,197165802,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L10__tail-side__r3,IsPETase,Pro00083,10,tail-side,3,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,171329841,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L20__bidirectional__r1,IsPETase,Pro00083,20,bidirectional,1,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.8840,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,294050320,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L20__bidirectional__r2,IsPETase,Pro00083,20,bidirectional,2,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.8424,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,1724350063,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L20__bidirectional__r3,IsPETase,Pro00083,20,bidirectional,3,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.0006,detached,20-100,PRODUCTION_FAIL,WARN,PASS,PASS,833970090,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L20__head-side__r1,IsPETase,Pro00083,20,head-side,1,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,132017534,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L20__head-side__r2,IsPETase,Pro00083,20,head-side,2,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,1735455510,2025.4,2025.4,deployed_run_copy
Pro00083__PET_L20__head-side__r3,IsPETase,Pro00083,20,head-side,3,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.9988,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,48586651,2025.4,2025.4,deployed_run_copy
